Location,Transect,Repeat,Date,Start,Stop,Time,Time_flag,Distance,
Dronfield,1,1,22/06/2015,13:04:01,15:39:04,02:35,Flag,12.1,
Dronfield,1,2,28/06/2015,13:50:35,14:51:33,01:00,Check,12.1,
Dronfield,1,3,11/07/2015,14:02:04,14:43:07,00:41,Check,12.1,
Dronfield,1,4,12/07/2015,12:59:59,13:41:53,00:41,Check,12.1,
Dronfield,1,5,17/07/2015,13:59:33,15:00:52,01:01,Check,12.1,
Dronfield,1,6,08/08/2015,12:14:08,13:19:26,01:05,Check,12.1,
Dronfield,1,7,09/08/2015,10:55:29,11:48:21,00:52,Check,12.1,
Dronfield,1,8,10/08/2015,14:30:48,15:02:10,00:31,Check,12.1,
Dronfield,1,9,13/08/2015,11:04:50,12:06:06,01:01,Check,12.1,
Dronfield,1,10,14/08/2015,10:50:03,11:16:24,00:26,Check,12.1,
Dronfield,2,1,16/06/2015,16:24:38,17:11:50,00:47,Check,13.9,
Dronfield,2,2,22/06/2015,15:46:43,16:59:38,01:12,Check,13.9,
Dronfield,2,3,28/06/2015,14:57:57,15:57:26,00:59,Check,13.9,
Dronfield,2,4,06/07/2015,09:17:13,12:18:42,03:01,Flag,13.9,
Dronfield,2,5,11/07/2015,14:50:47,15:21:08,00:30,Check,13.9,
Dronfield,2,6,12/07/2015,14:58:56,16:28:54,01:29,Check,13.9,
Dronfield,2,7,17/07/2015,12:28:05,13:53:25,01:25,Check,13.9,
Dronfield,2,8,27/07/2015,12:32:49,13:24:11,00:51,Check,13.9,
Dronfield,2,9,09/08/2015,15:49:40,16:25:11,00:35,Check,13.9,
Dronfield,2,10,10/08/2015,15:13:17,17:02:54,01:49,Check,13.9,
Dronfield,2,11,14/08/2015,11:25:30,11:55:00,00:29,Check,13.9,
Dronfield,3,1,15/06/2015,11:30:56,13:31:46,02:00,Flag,8.4,
Dronfield,3,2,16/06/2015,12:52:41,15:59:21,03:06,Flag,8.4,
Dronfield,3,3,20/06/2015,12:05:43,14:32:30,02:26,Flag,8.4,
Dronfield,3,4,26/06/2015,13:51:18,15:56:42,02:05,Check,8.4,
Dronfield,3,5,28/06/2015,12:28:53,13:39:26,01:10,Check,8.4,
Dronfield,3,6,30/06/2015,11:31:12,14:39:26,03:08,Flag,8.4,
Dronfield,3,7,11/07/2015,12:05:05,13:50:09,01:45,Check,8.4,
Dronfield,3,8,12/07/2015,14:17:08,14:52:58,00:35,Check,8.4,
Dronfield,3,9,13/07/2015,12:18:16,15:36:51,03:18,Flag,8.4,
Dronfield,3,10,18/07/2015,14:15:49,15:05:15,00:49,Check,8.4,
Dronfield,3,11,19/07/2015,10:07:12,10:48:02,00:40,Check,8.4,
Dronfield,3,12,27/07/2015,11:15:17,12:07:35,00:52,Check,8.4,
Dronfield,3,13,14/08/2015,12:01:35,12:31:29,00:29,Check,8.4,
Dronfield,4,1,21/06/2015,12:44:26,16:37:08,03:52,Flag,13.8,
Dronfield,4,2,04/07/2015,12:13:14,13:13:29,01:00,Check,13.8,
Dronfield,4,3,06/07/2015,12:23:28,12:53:37,00:30,Check,13.8,
Dronfield,4,4,13/07/2015,15:45:06,16:12:35,00:27,Check,13.8,
Dronfield,4,5,17/07/2015,15:11:19,16:04:50,00:53,Check,13.8,
Dronfield,4,6,28/07/2015,16:29:48,17:06:49,00:37,Check,13.8,
Dronfield,4,7,04/08/2015,12:30:21,13:04:47,00:34,Check,13.8,
Dronfield,4,8,05/08/2015,16:33:23,17:26:21,00:52,Check,13.8,
Dronfield,4,9,09/08/2015,12:15:58,13:10:26,00:54,Check,13.8,
Dronfield,4,10,10/08/2015,13:19:50,13:52:04,00:32,Check,13.8,
Dronfield,4,11,14/08/2015,12:44:58,13:08:24,00:23,Check,12.6,
Mokala,5,1,18/06/2015,14:25:46,17:03:51,02:38,Flag,12.6,
Mokala,5,2,01/07/2015,10:46:14,10:54:50,00:08,Check,12.6,
Mokala,5,3,07/07/2015,07:24:11,07:36:44,00:12,Check,12.6,
Mokala,5,4,16/07/2015,12:36:24,12:53:18,00:16,Check,12.6,
Mokala,5,5,21/07/2015,14:25:51,14:44:33,00:18,Check,12.6,
Mokala,5,6,25/07/2015,12:20:33,12:37:42,00:17,Check,12.6,
Mokala,5,7,30/07/2015,10:28:29,10:46:47,00:18,Check,12.6,
Mokala,5,8,06/08/2015,12:19:11,12:45:27,00:26,Check,12.6,
Mokala,5,9,11/08/2015,10:05:13,10:25:05,00:19,Check,12.6,
Mokala,5,10,12/08/2015,15:12:05,15:26:55,00:14,Check,12.6,
Mokala,6,1,17/06/2015,11:44:25,12:08:23,00:23,Check,11.5,
Mokala,6,2,18/06/2015,07:23:15,08:09:14,00:45,Check,11.5,
Mokala,6,3,25/06/2015,10:59:49,11:11:39,00:11,Check,11.5,
Mokala,6,4,14/07/2015,14:32:54,15:41:12,01:08,Check,11.5,
Mokala,6,5,20/07/2015,14:53:55,15:39:44,00:45,Check,11.5,
Mokala,6,6,12/08/2015,08:21:58,09:22:09,01:00,Check,11.5,
Mokala,6,7,12/08/2015,07:46:14,08:14:21,00:28,Check,11.5,
Mokala,7,1,18/06/2015,08:15:25,14:25:30,06:10,Flag,13.8,
Mokala,7,2,01/07/2015,10:58:37,13:13:10,02:14,Flag,13.8,
Mokala,7,3,16/07/2015,11:53:20,12:31:02,00:37,Check,13.8,
Mokala,7,4,20/07/2015,15:46:16,17:00:03,01:13,Check,13.8,
Mokala,7,5,24/07/2015,09:39:17,10:24:03,00:44,Check,13.8,
Mokala,7,6,24/07/2015,16:44:16,17:03:57,00:19,Check,13.8,
Mokala,7,7,25/07/2015,08:55:45,09:48:26,00:52,Check,13.8,
Mokala,7,8,30/07/2015,16:18:27,17:01:55,00:43,Check,13.8,
Mokala,7,9,31/07/2015,09:49:16,10:45:45,00:56,Check,13.8,
Mokala,7,10,06/08/2015,16:44:18,17:19:22,00:35,Check,13.8,
Mokala,7,11,07/08/2015,12:20:13,13:00:59,00:40,Check,13.8,
Mokala,7,12,11/08/2015,14:08:29,14:51:56,00:43,Check,13.8,
Mokala,7,13,12/08/2015,09:56:29,10:37:00,00:40,Check,13.8,
Mokala,7,14,12/08/2015,14:16:00,14:55:51,00:39,Check,13.8,
Mokala,8,1,15/07/2015,16:56:16,17:11:52,00:15,Check,4.48,
Mokala,8,2,07/08/2015,13:09:26,13:21:16,00:11,Check,4.48,
Mokala,8,3,11/08/2015,15:02:42,15:16:07,00:13,Check,4.48,
Mokala,8,4,11/08/2015,15:17:19,15:29:07,00:11,Check,4.48,
Mokala,8,5,11/08/2015,15:55:11,16:05:27,00:10,Check,4.48,
Mokala,8,6,11/08/2015,16:10:09,16:22:26,00:12,Check,4.48,
Mokala,8,7,12/08/2015,09:30:56,09:53:05,00:22,Check,4.48,
Mokala,8,8,12/08/2015,15:02:23,15:11:56,00:09,Check,4.48,
Outside Sites,9,1,15/06/2015,10:02:32,10:25:43,00:23,Check,21.6,
Outside Sites,9,2,16/06/2015,12:29:57,12:50:42,00:20,Check,21.6,
Outside Sites,9,3,20/06/2015,11:39:58,11:57:46,00:17,Check,21.6,
Outside Sites,9,4,22/06/2015,12:34:18,12:56:16,00:21,Check,21.6,
Outside Sites,9,5,03/07/2015,11:47:33,12:55:04,01:07,Check,21.6,
Outside Sites,9,6,07/07/2015,06:44:10,07:24:00,00:39,Check,21.6,
Outside Sites,9,7,11/07/2015,11:41:24,12:02:13,00:20,Check,21.6,
Outside Sites,9,8,11/07/2015,15:28:15,16:07:22,00:39,Check,21.6,
Outside Sites,9,9,12/07/2015,12:36:59,12:59:48,00:22,Check,21.6,
Outside Sites,9,10,13/07/2015,11:47:57,12:15:45,00:27,Check,21.6,
Outside Sites,9,11,18/07/2015,13:56:09,14:14:29,00:18,Check,21.6,
Outside Sites,9,12,19/07/2015,09:45:41,10:06:27,00:20,Check,21.6,
Outside Sites,9,13,26/07/2015,11:02:44,11:38:20,00:35,Check,21.6,
Outside Sites,9,14,28/07/2015,13:08:12,13:32:53,00:24,Check,21.6,
Outside Sites,9,15,02/08/2015,11:16:56,12:02:21,00:45,Check,21.6,
Outside Sites,9,16,03/08/2015,11:20:58,13:40:04,02:19,Flag,21.6,
Outside Sites,9,17,04/08/2015,11:25:24,12:30:11,01:04,Check,21.6,
Outside Sites,9,18,05/08/2015,11:12:39,11:40:26,00:27,Check,21.6,
Outside Sites,9,19,08/08/2015,10:34:21,11:13:37,00:39,Check,21.6,
